,Rewards
0,0.0
1,1.0
2,0.0
3,0.0
4,1.0
5,0.0
6,1.0
7,3.0
8,1.0
9,1.0
10,1.0
11,2.0
12,1.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.0
18,0.0
19,3.0
