,Rewards
0,-21.0
1,-20.0
2,-21.0
3,-20.0
4,-19.0
5,-21.0
6,-20.0
7,-21.0
8,-20.0
9,-19.0
10,-21.0
11,-21.0
12,-21.0
13,-21.0
14,-20.0
15,-20.0
16,-20.0
17,-21.0
18,-19.0
19,-21.0
