,Rewards
0,480.0
1,320.0
2,210.0
3,540.0
4,170.0
5,160.0
6,660.0
7,210.0
8,500.0
9,110.0
10,230.0
11,220.0
12,210.0
13,260.0
14,250.0
15,200.0
16,270.0
17,270.0
18,390.0
19,150.0
