,Rewards
0,-17.0
1,-17.0
2,-15.0
3,-14.0
4,-17.0
5,-17.0
6,-17.0
7,-17.0
8,-17.0
9,-17.0
10,-16.0
11,-20.0
12,-15.0
13,-17.0
14,-17.0
15,-17.0
16,-17.0
17,-18.0
18,-16.0
19,-15.0
