,Rewards
0,3.0
1,4.0
2,2.0
3,2.0
4,3.0
5,0.0
6,3.0
7,1.0
8,2.0
9,2.0
10,4.0
11,2.0
12,0.0
13,2.0
14,4.0
15,3.0
16,1.0
17,2.0
18,2.0
19,1.0
