,Rewards
0,-17.0
1,-17.0
2,-18.0
3,-17.0
4,-17.0
5,-18.0
6,-16.0
7,-16.0
8,-16.0
9,-15.0
10,-17.0
11,-13.0
12,-17.0
13,-16.0
14,-13.0
15,-11.0
16,-17.0
17,-17.0
18,-14.0
19,-18.0
