,Rewards
0,220.0
1,250.0
2,240.0
3,290.0
4,190.0
5,200.0
6,190.0
7,170.0
8,170.0
9,350.0
10,260.0
11,230.0
12,270.0
13,240.0
14,200.0
15,220.0
16,120.0
17,230.0
18,120.0
19,250.0
