,Rewards
0,1.0
1,1.0
2,4.0
3,2.0
4,2.0
5,0.0
6,0.0
7,2.0
8,5.0
9,0.0
10,4.0
11,1.0
12,3.0
13,4.0
14,6.0
15,1.0
16,1.0
17,5.0
18,1.0
19,4.0
